codigo,nome,descricao,altura,largura,medidas,peso,imagem,categoria
08333,Suporte Magnético Para Celular,"Suporte magnético para smartphones em plástico, possui ajuste em diferentes ângulos de inclinação. Conta com ventosa retrátil via chave seletora para fixação do suporte em superfícies lisas. Apresenta encaixe magnético para posicionar o aparelho na vertical ou horizontal, seja em modelos com suporte à funções magnéticas ou com o auxílio do anel adaptador posicionado no interior da capa de celulares. Acompanha dois anéis magnéticos colantes, um adesivo em policarbonato, um kit de lenços para limpeza de telas e um chave Allen pequena.",4 cm,"7,5 cm","(CxL):  3,5 cm x 5 cm",(g):  85,https://www.xbzbrindes.com.br/img/produtos/3/Suporte-Magnetico-Para-Celular-PRETO-23387-1748357736.jpg,Acessórios p/ Celular
18111,Suporte para Celular,"Suporte plástico para celular, possui no verso fita dupla face para fixação.","7,8 cm","4,8 cm","(CxL):  5,0 cm X 1,5 cm",(g):  10,https://www.xbzbrindes.com.br/img/produtos/3/Suporte-para-Celular-PRETO-14791-1664457538.jpg,Acessórios p/ Celular
13888,Pop Socket,"Suporte plástico para celular. Material plástico colorido, possui “disco” anelar retrátil que ao puxá-lo abrirá o encaixe para os dedos e possibilitará a rotação da peça. Base plástica para encaixe, pode ser colada no celular, paredes, vidros, ou onde desejar afim de que possa encaixar o suporte anelar. Suporte e base com adesivos, basta remover a proteção e colar no local desejado.",,,"(CxL):  3,8 cm x 3,8 cm",(g):  8,https://www.xbzbrindes.com.br/img/produtos/3/Suporte-Plastico-para-Celular-AMARELO-7260-1520345769.jpg,Acessórios p/ Celular
09004,Carregador Turbo Com 3 Portas,"Carregador rápido com design leve e compacto em plástico. Conta com três entradas: uma USB-A e duas USB-C, sendo uma delas de recarga rápida de 20W. Não acompanha cabo USB.","8,2 cm",5 cm,"(CxL):  4 cm x 2,5 cm",(g):  37,https://www.xbzbrindes.com.br/img/produtos/3/Carregador-Turbo-Com-3-Portas-23419-1749128370.jpg,Acessórios p/ Celular
14623,Suporte Plástico para Celular,"Suporte plástico para celulares e tablets com níveis de regulagem. Contém detalhe emborrachado na “canaleta”, evitando que o dispositivo encaixado escorregue.","7,8 cm",,"(CxL):  2,5 cm x 9 cm",(g):  34,https://www.xbzbrindes.com.br/img/produtos/3/Suporte-Plastico-para-Celular-BRANCO-13194-1627326457.jpg,Acessórios p/ Celular
09162,Suporte Magnético Para Celular,"Suporte magnético em plástico ABS com articulação em diferentes ângulos e rotação de 360 graus no próprio eixo. Possui superfície magnética para fixação de aparelhos na vertical ou horizontal, compatível com dispositivos magnéticos ou com o anel adaptador incluso. Conta com mecanismo giratório para pressão da ventosa em superfícies lisas. Acompanha anel magnético adesivo, placa plástica com adesivo, kit de lenços e chave Allen.","3,1 cm",6 cm,(CxL):  4 cm x 4 cm (base magnética),(g):  76,https://www.xbzbrindes.com.br/img/produtos/3/Suporte-Magnetico-Para-Celular-26389-1765381169.jpg,Acessórios p/ Celular
14809,Carregador via Indução,"Carregador via indução formato disco com indicador de funcionamento em led, feito em plástico ABS. Acompanha cabo USB. OBS.: O CARREGADOR APENAS TRANSFERE CARGA, ELE NÃO POSSUI BATERIA PARA ARMAZENAMENTO (NÃO É UM POWER BANK).",,10 cm,"(CxL):  6 cm x 5,5 cm",(g):  87,https://www.xbzbrindes.com.br/img/produtos/3/Carregador-via-Inducao-15482-1668179859.jpg,Acessórios p/ Celular
04052,Power Bank 10.000mAh com Lanterna e Multissaídas,"Carregador portátil de 10.000mAh com display digital indicador de bateria, contém duas lanternas de LED e quatro cabos com saídas para: cabo Lightning, USB-C, micro USB e USB. O carregador possui uma porta USB dupla (entrada e saída) com carga rápida e duas entradas, USB-C e micro USB, exclusivas para o carregamento do próprio dispositivos Acompanha cabo USB para recarga.",,"6,9 cm",(CxL):  5 cm x 8 cm,(g):  241,https://www.xbzbrindes.com.br/img/produtos/3/Power-Bank-10-000mAh-com-Lanterna-e-Multissaidas-12928-1621972572.jpg,Acessórios p/ Celular
15313,Suporte Para Celular PVC,Suporte para celular em PVC com aberturas para encaixe na parede durante a recarga do aparelho.,31 cm,7 cm,(CxL):  5 cm x 7 cm,(g):  5,https://www.xbzbrindes.com.br/img/produtos/3/Suporte-Para-Celular-PVC-24842-1757950657.jpg,Acessórios p/ Celular
06052,Power Bank 10.000mAh com Carregamento via Indução ou via Cabo,"Carregador portátil com capacidade para até 10.000mAh. Conta com display digital que indica o percentual de bateria do próprio carregador, área para carregamento de dispositivos compatíveis com tecnologia de indução e quatro cabos com saídas micro-USB, USB-C, Lightning e USB-A. Dispõe ainda de entradas micro-USB e USB-C exclusivas para a recarga do próprio carregador.",,"6,9 cm","(CxL):  3,5 cm x 5 cm",(g):  227,https://www.xbzbrindes.com.br/img/produtos/3/Power-Bank-10-000mAh-com-Carregamento-via-Inducao-ou-via-Cabo-PRETO-17908-1702556168.jpg,Acessórios p/ Celular
P@13139,Capa à Prova D’Água,"Capa impermeável para itens diversos. Parte frontal transparente e verso fosco, suporte plástico preto com fivelas rotatórias(basta rotacioná-las para abrir o case). Possui alça de nylon ajustável com fivela plástica.",29 cm,18 cm,"(CxL):  21,5 cm x 17 cm",(g):  77,https://www.xbzbrindes.com.br/img/produtos/3/Capa-a-prova-dagua-universal-PRETO-73-1493408954.jpg,Acessórios p/ Celular
19073,Cabo USB Retrátil 3 em 1,"Cabo USB retrátil 3 em 1 com extensão máxima de 1m. Possui conectores USB-C, Micro USB e Lightning em uma extremidade e conector USB-A na outra. Observação: cabo destinado apenas à recarga; não realiza transferência de dados.",24 cm,5 cm,(CxL):  3 cm x 3 cm,(g):  37,https://www.xbzbrindes.com.br/img/produtos/3/Cabo-USB-Retratil-3-em-1-27204-1770206075.jpg,Acessórios p/ Celular
03040,Suporte Retrátil para Celular e Tablet,"Assista seus vídeos, faça chamadas de vídeo e jogue com mais facilidade, a qualquer hora, em qualquer lugar! Produzido em plástico com haste de alumínio, o suporte possui ângulo ajustável e extensão de altura. Seu tapete de silicone antiderrapante garante a estabilidade do eletrônico sem machucar sua traseira. As “canaletas” que também são revestidas de silicone encaixam perfeitamente no eletrônico sem bloquear a visualização da tela, além do espaçamento ideal que permite o carregamento do eletrônico no suporte sem bloquear a visão. Por fim, sua base que também é de silicone antiderrapante, mantém o suporte fixo e estável nas mais variadas superfícies.",11 cm,"6,6 cm","(CxL):  8 cm x 6,3 cm",(g):  162,https://www.xbzbrindes.com.br/img/produtos/3/Suporte-Retratil-para-Celular-e-Tablet-PRETO-12526-1611947484.jpg,Acessórios p/ Celular
08011,Power Bank 10.000mAh com Lanterna e Multissaídas,"Carregador portátil em plástico com capacidade de até 10.000mAh. Possui display para visualização de percentual de carga do power bank e quatro cabos com saída para micro-USB, USB-C, Lightning e USB, além de entradas USB e USB-C dedicadas apenas para a recarga do próprio dispositivo portátil. Conta ainda com alça de borracha e um tamanho compacto para um transporte discreto, ele possui uma capacidade real de 6.000mAh para manter os dispositivos sempre carregados. Acompanha cabo USB-C.","10,6 cm","6,7 cm","(CxL):  2 cm x 3,5 cm",(g):  215,https://www.xbzbrindes.com.br/img/produtos/3/Power-Bank-10-000mAh-com-Lanterna-e-Multissaidas-PRETO-19579-1720709662.jpg,Acessórios p/ Celular
15280,Suporte para Celular,"Suporte para celular compacto feito em plástico. Ideal para superfícies planas, possui ajuste de inclinação de até 75 graus. Conta também com almofada emborrachada antiderrapante para oferecer um apoio mais estável ao aparelho durante o uso.","6,2 cm","7,1 cm",(CxL):  5 cm x 2 cm,(g):  18,https://www.xbzbrindes.com.br/img/produtos/3/Suporte-para-Celular-24233-1754597958.jpg,Acessórios p/ Celular
